date,symbol,engagement_ratio,rank
2022-03-31,V,0.1902780167221704,53.0
2022-04-30,A,0.38881966826170483,12.0
2022-04-30,AAL,0.25227148368258445,38.0
2022-04-30,AAP,0.2864550597108737,27.0
2022-04-30,AAPL,0.1731716024778277,67.0
2022-04-30,ABBV,0.21758014485016167,51.0
2022-04-30,ABT,0.2941824249735261,25.0
2022-04-30,AEP,0.20618990441667553,58.0
2022-04-30,AES,0.3884297520661157,13.0
2022-04-30,AMD,0.9912974560463306,1.0
2022-04-30,AMZN,0.16229058669726248,69.0
2022-04-30,ATVI,0.22432844247986472,46.0
2022-04-30,BA,0.2552165488273453,36.0
2022-04-30,BIIB,0.35825013164229125,16.0
2022-04-30,BKR,0.37843537285088347,14.0
2022-04-30,BMY,0.2613188074630566,34.0
2022-04-30,C,0.4055004175642818,11.0
2022-04-30,CB,0.5211928629367016,8.0
2022-04-30,CMG,0.2697434372861188,32.0
2022-04-30,CRM,0.9269981170145487,3.0
2022-04-30,CVX,0.8361238050596025,4.0
2022-04-30,D,0.3408225938745469,17.0
2022-04-30,DAL,0.21132491384306223,55.0
2022-04-30,DD,0.642463706514895,7.0
2022-04-30,DIS,0.23372478119568296,42.0
2022-04-30,EA,0.3666151149693582,15.0
2022-04-30,EBAY,0.19403801169577872,64.0
2022-04-30,EL,0.18540456990158047,65.0
2022-04-30,ENPH,0.2028474559860576,60.0
2022-04-30,ES,0.14808377244989698,72.0
2022-04-30,F,0.21631051519272454,52.0
2022-04-30,FCX,0.4593706525428203,10.0
2022-04-30,GILD,0.264183109826917,33.0
2022-04-30,GOOG,0.1322253562513364,74.0
2022-04-30,GOOGL,0.21473569784301486,53.0
2022-04-30,GS,0.22968074203204727,44.0
2022-04-30,HBAN,0.3177284596239175,19.0
2022-04-30,HON,0.2970892818300945,24.0
2022-04-30,ILMN,0.2811094335872741,29.0
2022-04-30,INTC,0.2592132156304772,35.0
2022-04-30,J,0.9891696750902527,2.0
2022-04-30,JNJ,0.19629220254107416,62.0
2022-04-30,JPM,0.20800355692826503,57.0
2022-04-30,K,0.283029447707285,28.0
2022-04-30,KEY,0.8009775392322835,5.0
2022-04-30,KO,0.2336951860937554,43.0
2022-04-30,L,0.5145297994985147,9.0
2022-04-30,LMT,0.27488324761163646,31.0
2022-04-30,MA,0.2189703986737994,50.0
2022-04-30,META,0.15108208327405698,71.0
2022-04-30,MNST,0.33968327498405737,18.0
2022-04-30,MO,0.17813382639811615,66.0
2022-04-30,MRNA,0.23980037959374717,39.0
2022-04-30,MRO,0.2770819140138071,30.0
2022-04-30,MSFT,0.20047919841772985,61.0
2022-04-30,MU,0.290418637727868,26.0
2022-04-30,NCLH,0.22329720437807293,47.0
2022-04-30,NFLX,0.21404508134043845,54.0
2022-04-30,NKE,0.16348152973538702,68.0
2022-04-30,NUE,0.29946805135746224,22.0
2022-04-30,NVDA,0.15182351117311654,70.0
2022-04-30,OXY,0.23641464842036378,40.0
2022-04-30,PEP,0.20391356631845678,59.0
2022-04-30,PFE,0.2981416119916218,23.0
2022-04-30,PG,0.22133223930817103,49.0
2022-04-30,PM,0.7589501447361215,6.0
2022-04-30,PYPL,0.14426279589505445,73.0
2022-04-30,REGN,0.22801958575279177,45.0
2022-04-30,SLB,0.3088017019638972,20.0
2022-04-30,STZ,0.30693938564852824,21.0
2022-04-30,T,0.25397501362429015,37.0
2022-04-30,TMO,0.2360214062380769,41.0
2022-04-30,TSLA,0.1209202068617082,75.0
2022-04-30,TSN,0.22249674461901134,48.0
2022-04-30,V,0.21084958123808153,56.0
2022-04-30,XOM,0.19422487984903297,63.0
2022-05-31,A,0.364055776979114,12.0
2022-05-31,AAL,0.18776979253150294,58.0
2022-05-31,AAP,0.32251473120490753,17.0
2022-05-31,AAPL,0.14022459024311015,80.0
2022-05-31,ABBV,0.17622186620003066,63.0
2022-05-31,ABT,0.24174380803629225,34.0
2022-05-31,AEP,0.4782608695652174,7.0
2022-05-31,AES,0.4126079975533298,10.0
2022-05-31,AMD,0.7314584396752978,1.0
2022-05-31,AMZN,0.1423215489693115,79.0
2022-05-31,ATVI,0.19814095339453106,52.0
2022-05-31,AVGO,0.17533805192174814,64.0
2022-05-31,BA,0.21496890900413487,46.0
2022-05-31,BIIB,0.45694449671820575,9.0
2022-05-31,BKR,0.2185002660411628,44.0
2022-05-31,BMY,0.22129292691004349,41.0
2022-05-31,C,0.22300651396479734,38.0
2022-05-31,CB,0.2952649079557103,23.0
2022-05-31,CMG,0.16120146524565143,69.0
2022-05-31,CRM,0.5254914724760484,6.0
2022-05-31,CVX,0.24744734195430806,32.0
2022-05-31,D,0.3542871029041836,14.0
2022-05-31,DAL,0.25011718419569834,31.0
2022-05-31,DD,0.600112513532425,4.0
2022-05-31,DG,0.45761723967513407,8.0
2022-05-31,DIS,0.1668919846573995,66.0
2022-05-31,DLTR,0.20937279487436214,48.0
2022-05-31,DVN,0.2146607136168557,47.0
2022-05-31,EA,0.24581896081161494,33.0
2022-05-31,EBAY,0.20873072201452605,49.0
2022-05-31,EL,0.3434897384905941,15.0
2022-05-31,ENPH,0.1551268653054155,75.0
2022-05-31,ES,0.10637379551529108,82.0
2022-05-31,F,0.15661145568114387,73.0
2022-05-31,FCX,0.5460916733180325,5.0
2022-05-31,GILD,0.3139780429643181,19.0
2022-05-31,GOOG,0.18660361494054425,60.0
2022-05-31,GOOGL,0.16179631280332715,68.0
2022-05-31,GS,0.19017859985190047,56.0
2022-05-31,HBAN,0.20303962750005913,50.0
2022-05-31,HON,0.2819866954404974,26.0
2022-05-31,ILMN,0.29873932176718876,22.0
2022-05-31,INTC,0.22015720762120874,42.0
2022-05-31,J,0.2800622878669203,27.0
2022-05-31,JNJ,0.1882806264007329,57.0
2022-05-31,JPM,0.18773649764957326,59.0
2022-05-31,K,0.35528829527068917,13.0
2022-05-31,KEY,0.6833985261693856,2.0
2022-05-31,KO,0.16095474466476928,71.0
2022-05-31,L,0.1659936826969552,67.0
2022-05-31,LMT,0.6525568480794574,3.0
2022-05-31,MA,0.168202393984231,65.0
2022-05-31,MDT,0.2227650215645065,39.0
2022-05-31,META,0.20245555012646985,51.0
2022-05-31,MNST,0.2403663980317317,35.0
2022-05-31,MO,0.16097922654505414,70.0
2022-05-31,MPC,0.2867310291639859,25.0
2022-05-31,MRNA,0.27917220521943686,29.0
2022-05-31,MRO,0.3936748185623729,11.0
2022-05-31,MSFT,0.19185084029285387,54.0
2022-05-31,MU,0.14930130994656046,77.0
2022-05-31,NCLH,0.2682124662775363,30.0
2022-05-31,NFLX,0.14379708411523998,78.0
2022-05-31,NKE,0.18416212406789148,61.0
2022-05-31,NUE,0.23731691301150273,36.0
2022-05-31,NVDA,0.21859026148699665,43.0
2022-05-31,OXY,0.19161930266717755,55.0
2022-05-31,PEP,0.16021319977106865,72.0
2022-05-31,PFE,0.30406090532838576,21.0
2022-05-31,PG,0.15378751193528123,76.0
2022-05-31,PM,0.2797566716857648,28.0
2022-05-31,PYPL,0.2181429182363087,45.0
2022-05-31,RCL,0.2236375265081403,37.0
2022-05-31,REGN,0.3080170779480426,20.0
2022-05-31,SLB,0.31886263600927595,18.0
2022-05-31,STZ,0.22222631876891683,40.0
2022-05-31,T,0.1952226113372471,53.0
2022-05-31,TMO,0.3268216195786588,16.0
2022-05-31,TSLA,0.1259015116013585,81.0
2022-05-31,TSN,0.29245023440161433,24.0
2022-05-31,V,0.18096517594540004,62.0
2022-05-31,XOM,0.1552928031367324,74.0
2022-06-30,A,0.40375481569496624,15.0
2022-06-30,AAL,0.21579801350385475,45.0
2022-06-30,AAP,0.14701570381930426,80.0
2022-06-30,AAPL,0.1596669449069023,73.0
2022-06-30,ABBV,0.1529215703735441,77.0
2022-06-30,ABT,0.37336231148429677,16.0
2022-06-30,AEP,0.288135593220339,27.0
2022-06-30,AES,0.26893859806621917,29.0
2022-06-30,AMD,0.2522005460886223,31.0
2022-06-30,AMZN,0.15961719431043486,74.0
2022-06-30,ATVI,0.2503329470570556,32.0
2022-06-30,AVGO,0.17734116071028946,65.0
2022-06-30,BA,0.18173674676449433,59.0
2022-06-30,BIIB,0.41739497583858143,14.0
2022-06-30,BKR,0.23281971689835426,40.0
2022-06-30,BMY,0.23431844684766287,38.0
2022-06-30,C,0.24669763934292194,34.0
2022-06-30,CB,0.6797151928974584,3.0
2022-06-30,CCL,0.24391991520381,35.0
2022-06-30,CMG,0.18237516854001157,58.0
2022-06-30,CRM,0.6499065058666996,4.0
2022-06-30,CVX,0.20191064935306233,52.0
2022-06-30,D,0.24372605030015818,36.0
2022-06-30,DAL,0.22247258958320265,42.0
2022-06-30,DD,0.9150769642838713,1.0
2022-06-30,DG,0.33090498326729556,19.0
2022-06-30,DIS,0.20503005931770263,49.0
2022-06-30,DLTR,0.20250413116120242,50.0
2022-06-30,DVN,0.17863516435474447,63.0
2022-06-30,EA,0.4720304604957811,9.0
2022-06-30,EBAY,0.23424694588676892,39.0
2022-06-30,EL,0.24128443257134297,37.0
2022-06-30,ENPH,0.15484491321033786,76.0
2022-06-30,ES,0.1502452352434093,79.0
2022-06-30,F,0.15205450638521834,78.0
2022-06-30,FCX,0.5036257768952317,5.0
2022-06-30,GILD,0.2848978034770812,28.0
2022-06-30,GOOG,0.20542177427953462,48.0
2022-06-30,GOOGL,0.1808737613393846,60.0
2022-06-30,GS,0.5027904800171972,6.0
2022-06-30,HBAN,0.1850148955039212,57.0
2022-06-30,HON,0.3666574377130588,18.0
2022-06-30,ILMN,0.4549209553324651,10.0
2022-06-30,INTC,0.1669359953964362,71.0
2022-06-30,JNJ,0.17640856654645867,66.0
2022-06-30,JPM,0.4479240269845011,12.0
2022-06-30,K,0.19447202499919058,55.0
2022-06-30,KEY,0.48382035632732284,7.0
2022-06-30,KO,0.16966397271230887,69.0
2022-06-30,L,0.4538354638449761,11.0
2022-06-30,LMT,0.2619554081813121,30.0
2022-06-30,MA,0.19161814506371136,56.0
2022-06-30,MDT,0.42619971020104186,13.0
2022-06-30,META,0.19921351605033422,53.0
